month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1551398400,34722.99603274061,38873.50290251896,39592.93960742331,31317.007150879293,32517.23616629519,29798.006919318625,13627.961062291412,30760.280913857252,37201.49920780584,19638.26212978874,30228.359462129836,25900.040373014526,41449.04088849047,10612.860933522208,33512.76997321688
1554076800,34095.91671066169,39480.48012551337,39004.83771826441,28954.082891508067,31464.674194573232,29772.932940542927,13553.08252761591,30536.016143408953,36106.50659286484,20286.704836100038,29915.205411580293,24493.64953162212,40337.463746776615,10559.366863032275,33493.91307574165
1556668800,35782.503171459204,40908.6282568753,39522.045405131175,31889.37986394267,34782.20328673624,31160.612688694193,14380.863046584567,31787.69825099571,38700.38387388144,21143.15267890265,31176.991362028937,26759.432827796547,42464.6015640841,10756.630707348828,35819.94405905853
1559347200,33232.45750780433,36996.01930449951,36949.806701614296,27216.561543041844,29657.68795586058,28548.734176547816,13063.698117541906,29870.11431498423,34938.60080600014,19137.146123757873,29275.782853463952,24833.592013127924,39777.64080115042,10222.431977064047,32700.934381254374
1561939200,33341.63458461382,39618.61563163236,36723.716085731474,30193.052758260616,32847.2449078408,29917.712469628383,14052.380873856831,30422.422925158913,35156.1823591606,19461.918355680733,29092.684968343317,24994.319142091157,41339.92125234555,11001.29697631427,33930.52472701608
1564617600,35310.40998408503,41031.94210221127,40682.480398758176,30562.531350289122,32861.0182811131,30463.88911704312,13493.753956741888,32810.816514685204,38702.69005351894,21399.282666954925,31862.177896495545,26028.258049447482,42622.26889640589,10397.658667152707,34274.806977820306
1567296000,32197.49784013424,37841.8538064952,35886.52007346207,29258.44939122575,29531.597456966738,27702.72016255112,13188.031109620828,30266.554578743013,35626.80133467084,18876.025848649177,28955.837906893878,24271.491407425256,39156.77342987614,9940.952150738784,32878.149575165015
1569888000,34481.89537432353,40756.13678694984,38005.14163264387,30206.209083397473,32356.5344090359,31121.803872816534,13920.261204340713,32359.53255474797,37585.79063550188,20340.860429707318,30805.497759415113,25038.560884856233,41630.084863923046,10632.41046054886,35189.918387491176
1572566400,32985.38429559634,37887.74863088716,36009.123383066624,29720.22846821165,31421.270507234676,29269.43457069842,13205.047804821626,30018.787327095917,35902.4478377488,18656.894626622416,29593.250047566635,24381.275197254898,39459.71542588376,10105.73866414015,33392.95807719826
1575158400,33335.44838736157,39009.65602426649,36654.3419783469,30241.508602453803,32057.335090503202,28648.887425521938,13524.658870971318,31769.39020622388,36764.93830548668,19723.653413090688,29683.354297126276,24169.697465687736,40697.72387367658,10331.894520317801,34372.098923197984
1577836800,32419.86196091867,39293.29898408766,39722.953958720995,30146.11231661837,32628.026696496767,30908.299052424765,13749.961258828549,31576.068838501968,37008.2443472336,19525.290881426306,29772.184842352024,24900.413135247116,40409.24325283394,10506.261922411653,34999.90181859752
1580515200,30029.545185996973,35099.746562425535,33648.44391614437,26538.544240024232,28879.174864063945,27074.199818882542,12270.222299186455,28108.949589245334,33070.06276165387,17530.27829723487,27373.874968887452,22583.154625904757,36915.111637354436,9610.817152296713,30898.14951282339
1583020800,33510.93565821026,40596.80754567565,36835.841948681475,30369.403342465353,32716.431946587254,31097.12092655962,14109.20754086387,32077.39593688813,37518.817757686615,20491.39276089092,31673.42637287614,25249.960262935274,42454.14930285571,10753.211298827493,35665.085808181866
1585699200,32807.93374654,38740.30286089742,36836.56918006808,28899.51957026039,30144.716813731022,29465.971896832194,13494.623534081886,30513.355663330836,36143.104506045725,19585.55749790986,29682.886611563885,24941.240088294435,38910.8145423792,10358.758581246666,33257.843545362186
1588291200,30638.689138041853,37591.8515811369,34637.59294538348,27851.720627450413,29407.681792741205,28416.802110929115,12703.822252798633,29034.577233632677,34410.171058526124,18298.040551577258,28024.06992806897,22923.247247152744,37964.39390064951,9909.067920383159,32397.336372903752
1590969600,31863.5210794868,38284.771539246685,36440.90636889619,28388.538276197327,29641.92374975106,28944.8065893902,13219.418608814894,30115.74414510097,35984.57442789908,18698.989623286125,29089.713339470418,23998.534678081753,39122.69311869581,10134.941220849067,33154.662668833706
1593561600,32819.18691784012,40694.5181867832,37772.20446996768,30170.35228253025,32319.14441897753,29811.989786248287,13817.703168814001,31809.814748929464,37359.174534384154,19467.308925951365,30263.62421772143,24835.18803769892,40624.31180484965,10509.305496335912,33944.485144120204
1596240000,29749.492312963033,36587.89016620018,33583.75115812577,26221.188873177012,32454.979515468247,27087.706165079468,12180.128533489698,28242.081260051174,32797.269088016525,17266.205459881166,27036.398179863238,21840.74072686326,36228.93400815762,9421.312705246579,30970.70825289846
1598918400,31683.891295504654,38770.70747481372,35431.86467949698,28487.586963709145,30813.969777930695,27698.280021251194,13364.22340683413,30771.511740751816,36999.22754906376,18464.290179578482,28780.246471891103,23737.907731401367,38980.57977785718,10095.618554766354,34092.762131482676
1601510400,32227.91941019674,39560.787739335574,36732.26644026073,27929.30931987266,31028.370974768863,29281.750335570472,13536.760435239217,30672.028627279597,36551.470369241724,19228.12358458835,29451.9384258787,23724.055348410908,39447.8229643947,10190.50961141442,33319.14590157696
1604188800,30304.54051932527,37158.82822170267,34023.62010179374,27716.322112592276,28417.99795490016,27502.814017988243,12714.850942533272,29109.08826714659,34112.40414988649,17833.211061285496,27733.548277935188,22778.99117806551,37018.627718057,9674.5311834801,31758.51020956476
1606780800,33161.42540134641,40268.608585018876,37384.035311444786,28920.097556168694,34826.18489891705,29658.145942077797,13629.73357460055,31542.670692378986,37525.94918137224,20091.656841193304,30386.713681765494,24967.19740586454,40162.910676422034,10310.225189077444,35719.797867674046
1609459200,30192.667006447522,36644.725804529444,33762.57395785637,27833.967564446913,30224.987747936,27351.949011599754,12725.062790743672,28580.305273878155,34364.58205858402,17864.257532147356,27557.54261290426,22317.755448316435,36787.39578117175,9834.851465098393,31802.58940656639
1612137600,28407.786052230633,34865.28304476275,31439.768725974365,25070.37291406914,27168.60700112157,25463.369194520146,11634.152996122417,27131.370483571638,32687.785263728885,17101.89157741998,25913.1402798096,20884.65060486909,34622.9659518343,8903.997561060485,29248.294072532048
1614556800,31925.723498661064,39711.86794659814,35446.62889112035,27082.14806150203,30346.393611679523,28959.21421751447,13298.176188256277,30472.483554842176,36474.822330250085,18714.76949749956,28571.706094378686,23410.384832947988,37974.80990263733,10200.214163880475,34971.843512235246
1617235200,30405.69354299811,37640.70517272167,34063.787890325795,27479.13260815996,31157.426549894302,27642.526953680765,12786.815600250904,29666.34890171589,35417.76765818329,18453.398679153765,27932.50239811885,22707.05216401733,38429.343660203616,9576.740805406353,32368.34341526156
1619827200,29025.27238538969,35218.86141392337,31419.41649764262,25258.71948452992,28727.08547589017,26428.868215585004,12042.611396573464,27886.453211351436,32960.8105768862,17402.34666345039,26620.26513694163,21460.31662126479,35411.715539064455,9236.063775931147,31624.544575439562
