month,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.16C,ratio_quantity.18C
1541030400,28049.010953608242,40800.09699958329,30079.37428326678,41684.947548037686,35476.69156161454,35574.39527244415,17749.149421935505,16387.896179890733,28385.710011729236,24162.268205804747,30914.825358639016,33801.91249275071,34595.00127359598,53888.882049795626,32325.079021256526
1543622400,27715.367313858773,41082.868550400395,30460.78105263158,40804.679266334904,35487.48236394776,34070.376531742164,18174.251083081886,17035.918453460316,28543.769366103963,24379.53390562521,30666.72080427881,33287.214215543805,34922.72435591158,54131.26339886733,32944.023722639206
1546300800,27913.615068224444,40444.37769485403,30038.426048610818,42200.556691425016,35014.24445440876,35181.999079075606,19066.732143364494,16729.57919527165,28357.140112869252,24624.735927492362,31122.82981173234,33888.784745784535,34801.35312657619,54666.93627962517,33043.41097205233
1548979200,24951.92738251254,37009.02177759747,27217.40163697043,37740.368589220605,31108.29069309763,32620.110306185554,16584.573719704993,15544.795366697133,24980.464444116136,22177.205081490956,28150.83987287535,30473.51256831807,31297.48622208412,48791.04481592828,29175.137345965402
1551398400,27649.326261538095,39875.58297851782,30451.56591399407,40926.192460676444,34165.264434393226,34633.46739900511,17952.7335893929,16508.966826331867,27684.72444402285,24015.402635316677,30001.753018046475,33473.901816000776,34199.133878583634,54608.25276448753,31830.740414820833
1554076800,25883.94866777751,38118.69068220207,29568.366760598306,42177.57220805408,33606.251763797176,34684.68192152817,18111.993103973175,15826.078074874078,27270.338441372496,23786.925922380007,29739.942071223624,32869.95612968136,32810.07312165247,51953.83276209596,31867.753784595025
1556668800,27950.5980305918,41274.109174465215,30297.452058473165,43149.317451375704,35637.90134329653,36255.07537214426,18137.783043381423,17468.472611499627,28379.546637547162,24968.10435959875,31199.774442009973,35031.140959794204,34978.805090465285,55387.71607938033,33684.32886897681
1559347200,25505.35708837044,37660.85215906234,28725.461183506464,39026.37932976459,32103.612411725324,32991.483767471764,17435.603484053492,15932.863588471371,26112.73628319275,22866.803521615566,29124.811425779822,31714.099966803667,31995.64678014468,50155.15226118263,30579.56297557071
1561939200,25178.66856111423,39650.73971414857,28357.283623805957,41985.820968472945,32901.47212176721,34353.18946075119,17418.36811699022,16104.789467859076,25214.589606855996,23341.366667927097,29504.55344121393,33539.81286806837,32217.283831476096,52005.92589288877,31770.235373848536
1564617600,29006.5644440924,39484.30711359364,30862.226550624255,42499.09371050007,34850.30032634721,36894.21922623891,19341.12125998672,17203.61793747665,29420.030520118165,25581.153747924916,32444.718071126852,33949.62751555604,35827.11934262718,54824.14223122908,33230.27379810574
1567296000,25511.03062905722,37855.450478377265,28734.062434038577,40180.292086718124,31291.62866979418,33195.92083261826,17399.22143191488,16132.353051962871,26072.251196952944,22983.41838568294,29286.507878178516,32321.83745619245,32688.707793151338,49859.50845458121,30437.015944648003
1569888000,27406.225654342932,39521.88708607628,29758.868528792547,42275.22658788947,33893.59011756136,34695.738417140994,18961.234126683725,17666.15904737812,27593.690578983103,24516.380444936276,31327.38021006749,33641.34944352751,34322.350568905356,52853.365264449596,32956.10427063094
1572566400,26236.139370389497,38302.01516614949,29017.84639393599,40457.26330420379,30711.240271391725,33235.37687509171,16635.63959513215,16677.881267161512,26257.223564445438,23108.928198906546,29308.01189825098,32230.19098239197,32355.491527389062,49701.44913075613,29980.169820026524
1575158400,26462.92396649063,38462.99470055391,29911.74700912135,40797.62471650296,31751.642970043213,34328.17992703403,18358.8642794213,16753.674616633583,27007.551796410946,23401.194901146115,30398.010221092754,33501.51190570801,33610.417416472876,51755.79864590062,31625.198884139747
1577836800,27051.65797813462,39423.42645709826,29826.18745254905,43845.626227258734,32344.132966517118,34129.31417175667,18005.25053968343,16577.533639556877,26944.052100923105,24040.855818976546,30662.332529980547,33550.87962683937,33722.07607260673,52021.036551252575,32262.896836029056
1580515200,24117.68004061434,34712.33462263216,26926.4655284653,38387.966036553255,29107.12813869992,30152.016336125434,16359.444957429996,15425.239728739374,24843.627734150105,21686.88478167136,27623.674576467856,30056.71159891213,29973.469268823654,46596.56999707689,28628.091953965726
1583020800,27323.788465528516,39212.73499525695,31186.855754868237,44264.504943909895,32237.107829197463,34550.60344597143,19052.325604241,16662.479268077695,27694.198196775626,24203.808889302658,31376.970790345444,34183.29018647355,34261.436964531735,53057.20320077663,32267.187408962225
1585699200,26554.698244552063,38954.55514373068,29664.715603651865,41969.31348417197,31081.273637281123,33870.34699744289,17875.827172138837,17783.71072247448,26733.529693611003,23123.099900730056,30981.18708292178,32881.54604440633,33562.70918602555,50599.28331767171,31630.420230624546
1588291200,24727.32045918113,37455.71738703424,28434.204910198918,39956.012881618684,29875.05161429551,31688.306781346288,17049.52899637447,15918.023979348614,25799.92390593723,22089.734096089698,28920.41554696059,30958.942872719,31684.353093850168,48200.28696406034,30161.938070124095
1590969600,25948.48800815256,37678.63935470537,28319.69744456605,40884.959621456735,30629.99402525177,32691.091560768968,17525.90711083987,16154.617006198265,26229.578975958273,22792.381071197935,30062.35631656777,32562.444342962357,32078.575995853804,50403.32012829369,30885.325025676135
1593561600,26668.408289575233,39167.99413523775,29815.297386504877,43214.55904582443,32008.74754811156,34738.779875580105,17751.7808425601,16528.479602716405,26881.004597880525,23215.022100549257,31006.692435267018,33847.189646672174,33485.99173225535,51213.077746218,32189.1404460248
1596240000,24138.71395959935,35110.348745586954,26899.869068055523,37979.87123194514,28260.570435293546,30142.665097536807,16492.729320121754,15100.69167517214,24041.555513366227,20916.022455421193,27779.811792949844,30256.247170872015,29746.928196405523,46389.04541605508,28963.916009753797
1598918400,25770.643002046774,36915.35005596737,28287.63939248821,41238.6731984792,30297.084674713693,32992.86188399586,16911.531353978688,15868.922596531742,26201.68394556329,22869.161448293104,30269.851539225958,32574.69006737784,32516.948625779063,49949.15002102165,31374.246694632282
1601510400,26411.95217859607,37595.01179736766,29368.978819892134,42046.13044378084,30431.48333565804,33571.394532483864,17677.25958261119,16507.382018087297,26353.72241957223,22820.232097223405,30337.04121739402,33148.50032500357,32742.659893460368,49162.14318352337,31656.676534084905
1604188800,24900.271486930436,36490.652206068626,27620.898268657136,40173.36233950232,29304.961266779843,31208.082507363524,16850.03193892381,15554.180826398746,24957.95448316321,21634.67230458969,28993.966057191006,30961.243223688227,31353.055965601434,46760.63985426323,30153.049812117766
1606780800,27249.21587605986,38964.21813923093,30072.92088885853,43626.55006773505,31246.396221141284,34290.72417443285,18950.168208137016,16855.794373895682,27246.777439396246,23425.68186532637,30557.148305330305,33667.77823425833,33659.98649044632,50706.61644640693,32492.37188909034
1609459200,25432.645206596244,35535.628761912194,27959.17889313498,39557.73578209562,28132.124310916148,31554.357858037114,16510.58589221486,15977.33820356317,25278.380022373913,21350.423156443827,28410.29320237718,30862.322075486292,31356.82758422534,46755.35279356254,30011.150932397326
1612137600,23618.05759044885,33885.08639809832,25411.04803404117,38208.128367403086,27283.73818301958,29584.543003122326,15813.68676738301,14681.992659576192,23060.15485230771,20353.517823243506,26926.73451985378,28696.18710744765,29065.63104752215,43325.052131632736,27879.927266045102
1614556800,26642.32970561836,37409.91043332551,28736.72330816313,42840.44645921859,30616.41296182219,33377.44211553245,17158.712733527245,16166.954132587987,26227.909905966884,22601.832870796265,29921.976792393136,32290.378676166252,32322.80545386771,48504.94359662427,30768.893426354116
1617235200,25653.7363466799,36704.98723783543,28033.25088080982,41892.565831300344,28994.71823245939,32211.350552198837,16528.538685046762,16308.088178056463,25099.306933447155,22050.065096870894,29107.615688405873,31218.027049504428,31604.909628080663,46999.797721339055,31001.500596969112
