,cost_savings_10,cost_savings_20,cost_savings_30,cost_savings_40,cost_savings_50,cost_savings_60,cost_savings_70,cost_savings_80,cost_savings_90,pct_id,stp_id,regional_team_id,month,numerator,denominator,calc_value,percentile
49,609.99976,609.99976,485.65244639156066,414.0946376082553,281.24039270820407,176.27602103941246,86.77488228137906,-93.9670006648023,-466.97302726448777,00N,QHM,Y63,2022-01-01,609.99976,158.71299999999997,3.8434139610491904,0.7523809523809524
50,74.42997,19.981152804285642,-43.23122198870307,-89.26210899922853,-164.82416653032573,-273.7516066414222,-396.4151524314634,-505.77806275559044,-791.7385574662387,00N,QHM,Y63,2020-02-01,74.42997,158.52499999999998,0.46951565999053785,0.21904761904761905
51,210.91220681230917,162.3120707998168,82.50166156705467,1.9900042760380074,-90.08650372589949,-179.60502548835842,-319.3579715519918,-506.38283367230486,-839.4302253943216,00N,QHM,Y63,2019-08-01,269.14089,158.23999999999998,1.700839800303337,0.41904761904761906
52,250.7467,200.93123885677318,83.8958861848295,18.026462526360973,-35.500159719538516,-91.83133592406725,-280.1783789436722,-436.40596853751333,-772.1632772207674,00N,QHM,Y63,2020-03-01,250.7467,158.61700000000005,1.5808311845514662,0.42857142857142855
53,313.22715,313.22715,169.68081445306328,112.04655700057347,48.97906176865689,-54.351887059798,-118.86282737790265,-358.530870942817,-703.3115279567833,00N,QHM,Y63,2022-04-01,313.22715,158.827,1.9721278497988377,0.5428571428571428
54,763.5469159672157,704.1596968401366,605.8429810913311,487.6663141681806,397.5584670683178,245.3559800545586,121.91044377222056,-68.29337444068653,-411.08746739523826,00N,QHM,Y63,2018-12-01,843.80359,157.79000000000002,5.34763666899043,0.7714285714285715
55,364.42768,285.80499725078863,231.0415140966866,162.9087874254743,45.12804823534202,-31.61114052321284,-247.85988415994234,-343.73698121537404,-674.6597610202227,00N,QHM,Y63,2020-12-01,364.42768,158.30100000000002,2.302118622118622,0.5333333333333333
56,453.9408575130047,362.5915930900363,272.1670783330144,189.2211310823244,100.48103090271746,-32.99455904684055,-207.26175551450035,-433.6218167337805,-930.8760851074608,00N,QHM,Y63,2018-11-01,565.24198,157.68100000000004,3.5847183871233685,0.5714285714285714
57,433.76647,358.40870905697363,231.9090043908358,163.76405292769385,60.277484581603915,-28.562386524323927,-190.55294598277396,-284.3436512228849,-723.2666606202915,00N,QHM,Y63,2020-06-01,433.76647,158.274,2.7406047108179488,0.5714285714285714
58,158.9764398725854,78.9468383684663,-5.869221730608018,-93.26596059563335,-178.31913483832042,-349.6150843926531,-485.61207642157376,-617.1119516147199,-925.360287912722,00N,QHM,Y63,2019-02-01,215.46462,157.81199999999998,1.3653246901376321,0.2857142857142857
59,167.94628,167.94628,62.86779098369544,0.0,-63.72503452836435,-126.18387380482642,-229.50637713106522,-375.9015734517419,-573.923633690894,00N,QHM,Y63,2022-09-01,167.94628,159.03099999999998,1.0560600134564961,0.4
60,299.21314,271.69595757949725,204.31358661126245,93.6752307605592,-10.481522681041383,-97.17326166175235,-270.4150570484706,-402.54268195922776,-657.6402477220845,00N,QHM,Y63,2019-12-01,299.21314,158.47200000000004,1.8881136099752633,0.4857142857142857
61,469.58174,469.58174,299.6593738243802,234.6183818808654,152.4735464325712,58.47906641146551,-102.52167583101874,-356.8759783329779,-667.5448693493934,00N,QHM,Y63,2022-03-01,469.58174,158.81899999999996,2.956710091361866,0.6285714285714286
62,181.46416,126.27331811351505,47.302125666870495,-53.91031838365154,-187.02688531467055,-278.8192564202334,-443.51822158329287,-610.5835810749048,-1059.743603347427,00N,QHM,Y63,2021-03-01,181.46416,158.311,1.1462511133149307,0.3619047619047619
63,511.1622,465.16980739758657,334.88203573387466,227.88173143262577,90.36252085798196,-38.111677241812345,-209.77632568109846,-446.72340460543217,-675.5818072874802,00N,QHM,Y63,2020-07-01,511.1622,158.31300000000002,3.2288074889617397,0.5904761904761905
64,407.35641,407.35641,277.6964873468974,230.62095011672272,159.70049101020106,48.517064361346,-91.48277322953447,-185.81295104742662,-447.53305006450057,00N,QHM,Y63,2023-02-01,407.35641,159.109,2.560234870434733,0.6666666666666666
65,275.65336,275.65336,171.33177002796725,77.79747581573,14.115468376957494,-67.59160982413391,-195.24426854959216,-395.44798075965684,-645.0199626541381,00N,QHM,Y63,2021-12-01,275.65336,158.71299999999997,1.7368039165033746,0.5238095238095238
66,237.65371,163.57892238444836,78.923704487885,-57.74709495700779,-127.579553366227,-315.3603110194279,-385.37152916602923,-599.9854425452704,-941.4606211095956,00N,QHM,Y63,2019-10-01,237.65371,158.36999999999998,1.5006232872387448,0.3523809523809524
67,526.14422,463.4758317468874,338.960625382084,236.7913977812405,173.6827122332109,64.28670767466019,-19.506233697810444,-117.00847949530146,-640.6930773325975,00N,QHM,Y63,2022-05-01,526.14422,158.795,3.313355080449637,0.6666666666666666
68,420.1390117460632,321.65853270807315,213.42802190648825,151.51155406295146,56.67912676934492,-25.14386830726312,-224.50386469862258,-364.47745347990485,-825.4740715792227,00N,QHM,Y63,2019-05-01,461.03197,157.94299999999998,2.918976909391363,0.5619047619047619
69,614.6141821206305,539.3083429010561,391.8972697858699,302.612582763835,199.44054066074818,126.39095168091251,-29.27221407154184,-150.4815312373222,-461.7037912886177,00N,QHM,Y63,2019-03-01,695.73977,157.834,4.408047505607157,0.6666666666666666
70,463.26627,383.9976929449649,317.2474770117601,224.3374676348862,66.29539023992339,0.0,-157.52777743135442,-406.39896783505054,-847.776503181994,00N,QHM,Y63,2020-04-01,463.26627,158.561,2.9216911472556304,0.6
71,273.5893486287946,161.13130665647705,63.35002133583646,-70.13418157745798,-125.46421658462765,-380.31846020769024,-517.5524245204692,-659.8060651378096,-932.6660164089091,00N,QHM,Y63,2018-10-01,343.49095,157.64,2.178958069018016,0.37142857142857144
72,250.8627662238736,134.1535817781744,23.314595549438366,-66.69505283425588,-186.3095065027531,-363.1652236637671,-534.9369958920593,-715.5426550830482,-1123.7817039757497,00N,QHM,Y63,2018-09-01,264.18211,157.57899999999998,1.6765058161303223,0.3238095238095238
73,617.78332,557.4091390789451,462.02168274117395,387.8575212533223,317.2316093928505,217.6995006024449,69.11490968048656,-209.83386545704445,-484.9017815094205,00N,QHM,Y63,2021-09-01,617.78332,158.76600000000002,3.8911562929090606,0.7523809523809524
74,929.41788,929.41788,801.2463946248787,717.4200091226194,666.8210642933884,604.155936639168,465.9863854027164,380.4613709109218,161.3355094213439,00N,QHM,Y63,2023-05-01,929.41788,159.16799999999998,5.839225723763571,0.9428571428571428
75,298.58387,298.58387,193.81286557989762,85.92265830752783,-2.0061741945556832,-176.75191945504565,-291.3051320968145,-473.4547153830494,-795.8885203930781,00N,QHM,Y63,2021-11-01,298.58387,158.67900000000003,1.8816848480265185,0.49523809523809526
76,240.66031,175.43987764259032,75.31642482183148,-5.865069365679801,-70.92462865949412,-218.17106848177067,-317.81756119300076,-491.69914660622624,-644.3891802447132,00N,QHM,Y63,2021-05-01,240.66031,158.54299999999995,1.5179497675709435,0.3904761904761905
77,215.58241999999998,158.83933280030018,88.0793373826725,9.2501802034065,-100.1522047052986,-232.22423697988236,-385.43908928386406,-536.2703395957465,-817.6046197130236,00N,QHM,Y63,2020-01-01,215.58241999999998,158.463,1.3604590346011372,0.42857142857142855
78,672.50964,672.50964,572.4298608129458,517.9268902493459,418.73195368106957,299.38457256306515,183.1306244787147,-8.983322176620277,-372.1085787331008,00N,QHM,Y63,2021-08-01,672.50964,158.714,4.237242083244074,0.780952380952381
79,550.67184,479.1416450632254,383.3263107926264,267.4788549856719,156.5991312897379,82.46747832491843,-72.40306063452931,-251.49194260214063,-608.024149586578,00N,QHM,Y63,2021-07-01,550.67184,158.73099999999997,3.4692142051647132,0.6666666666666666
80,235.79896,149.90114799929597,72.26014018047292,-6.11709772552237,-147.58250752543384,-215.24143836178175,-313.28242429333,-623.5683431514169,-785.3675556827254,00N,QHM,Y63,2020-08-01,235.79896,158.303,1.4895419543533603,0.3904761904761905
81,240.39733,205.7905947228184,140.08764999620902,73.59516107637788,-33.27452720800227,-172.08810759432174,-302.4812182568295,-561.2521897397678,-903.3020953549703,00N,QHM,Y63,2021-01-01,240.39733,158.29500000000002,1.5186666034934773,0.45714285714285713
82,274.97365,170.4444691022568,137.80239822710516,49.90273573831064,-37.64299114842635,-138.47588357252192,-281.3977912459212,-639.432502145688,-988.4882706509926,00N,QHM,Y63,2020-10-01,274.97365,158.263,1.7374474766685835,0.45714285714285713
83,192.80074,154.7533832004147,73.43556239971838,7.89043001470651,-35.74555426419661,-96.82306245099855,-177.68214049935293,-301.5375445990745,-567.6476931625388,00N,QHM,Y63,2023-01-01,192.80074,159.12200000000004,1.2116535739872547,0.4095238095238095
84,407.33194,407.33194,288.7982761316011,238.12070738038548,165.43530928750354,49.245860499449236,-44.62568860278941,-263.51825150840256,-452.65209961112345,00N,QHM,Y63,2023-03-01,407.33194,159.13,2.559743228806636,0.6666666666666666
85,181.2624660613883,153.03869713382068,46.67625838533016,-52.05429954331572,-164.359598815011,-300.05606793391775,-349.76665703269174,-626.6741892172481,-1024.8425908011436,00N,QHM,Y63,2019-07-01,236.55325,158.113,1.4961024710175634,0.34285714285714286
86,607.08092,534.3814628792885,460.75031906728566,281.4353680791813,198.3973122411099,73.17077792304235,-43.48232728865105,-264.6132752985262,-683.2097224331391,00N,QHM,Y63,2020-09-01,607.08092,158.28000000000003,3.835487237806418,0.6666666666666666
