month,ratio_quantity.02Y,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05D,ratio_quantity.05G,ratio_quantity.05Q
1541030400,63934.3416475028,60312.72966708454,57781.43296382248,86475.56898153556,74378.26798623845,67939.0617768602,67091.9413319869,91392.04001786132,56260.51298592693,47508.935906228115,67502.7632794777,90315.59896495503,59493.66779130607,66082.7930767858,90504.85920523328
1543622400,62943.592211397445,61321.37114991098,59058.406756502074,82395.07195304292,78293.88201709051,67853.02678773597,68284.81830074055,91969.48936509201,56256.92054689854,46490.4286173113,66094.28003422417,87729.85473405328,59008.70196806952,68928.41614835766,97381.6013948876
1546300800,64469.57301429394,63253.81825187507,60094.12298108118,88762.53874096044,81269.80192399389,69525.60663714055,68518.36760715247,95055.98089298749,58459.27485115097,50909.79594982563,68469.25091644673,95694.17621079422,59343.49706949484,67802.50898518875,94052.09429494888
1548979200,58646.680599026025,53518.674678795505,53825.836020050374,81111.22823759165,70905.28036075023,63071.17374622602,60871.054627594494,81927.85997126909,50243.99102151146,44745.53409203033,61217.28344170781,75174.57254409192,51561.26068986668,59922.505302992126,80804.90312524943
1551398400,63096.26131572927,59875.74245585128,57833.26764358112,84016.10469438252,77012.45857231495,66486.41099869547,66470.37270550238,90936.86788456448,54468.05345203627,48161.454417942194,66055.02064310036,87240.96547701833,57047.50595478542,65002.542827165635,90295.03557416133
1554076800,61340.76350938628,57301.83240683549,57453.93181791455,85116.47831246466,74272.32799809339,64814.154999630075,64030.24832322384,86980.5071114121,54177.8155768539,43916.780095976785,63617.637390625736,89880.95949559993,52378.38495498316,67494.82216662542,91225.2647567613
1556668800,64806.394832405895,59784.5052234619,62718.95889798869,89756.062419648,81112.49125593182,71485.08778276973,67376.34655307293,94270.40333620511,59987.94922925589,50242.6851249607,69765.66948172633,97314.04619358307,62008.30120523777,69486.22742962446,98384.44821222824
1559347200,60857.1097496091,55905.55965020619,55736.570393715614,83118.46361783214,75685.73112539244,65518.456375838905,64221.655212831254,87856.94295566037,55483.91503312614,46875.44376427242,65052.78437251654,86001.90861036764,52276.025696169156,66550.28605772537,89679.04851951357
1561939200,60856.919187800704,55161.296208444335,55727.124759084276,87601.6010363555,73062.43601705959,62213.72895507838,67355.4328165017,85681.26562384634,54763.54679802955,49893.99272092148,64920.00230533685,90685.37333889521,61833.425701420136,66991.21852193761,92204.48912789338
1564617600,67650.09691027249,62746.79521206008,68111.97373752798,92763.58428171693,86880.30446546836,77007.57894320246,65983.85815547872,99558.22309325497,62247.623251693876,50221.47694540073,70985.95361309161,96827.50593152894,61293.72152353824,72861.10164888276,99102.98444724674
