month,ratio_quantity.01K,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02E,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02T,ratio_quantity.02X
1580515200,59758.16258111438,119365.41121429793,90172.31903912322,68459.83800575798,136580.3386926062,77664.18923256091,78410.82307673334,88273.58888621713,91596.51414593947,104731.36248331908,84242.64681240857,106039.65856413485,111479.67138905189,60393.148156484946,80452.99289820768
1583020800,67397.93106974258,133953.95248600468,103025.33621039723,78189.25185669563,153494.56620360102,94107.18787095475,87746.78596675818,103697.67673836554,112858.05010511563,118622.41389148335,91695.70484335574,121823.26910107674,125544.12109636777,77324.317145314,89918.80412802025
1585699200,66109.29616835598,134043.07869040783,92542.25755622402,77205.38316529359,146894.72358645004,87606.70046851934,82678.88253373436,99827.67212401809,97532.99679234369,113408.65300928568,91337.20152125182,116955.61927343938,123420.84550912245,67097.0333661909,87340.53662252144
1588291200,64484.26837111618,126460.14645554576,94398.50283409201,73033.48212170317,142404.8106293537,82666.50761826546,80252.29395514044,96372.56013239326,100439.4065750779,106877.41011256202,87427.84531866337,111698.79655074386,114352.25130890052,67578.05428335967,84488.23155314004
1590969600,66601.69947785065,136286.52672609352,97545.29794564245,74055.92947857478,151547.74023827282,87018.97715127133,84875.07197499383,98070.46576684003,103260.41684972672,117869.9730655705,91526.7145736668,119751.1373113959,124731.90876270093,68258.15868668118,86080.45065643902
1593561600,70528.78295804808,141336.0760989695,103401.37084562046,79672.90324617909,155299.7688274667,90576.83222720122,88830.64897470795,103312.46174423613,111020.94908221396,118646.75857019394,96503.24827540015,123685.19487016233,130768.74764476824,73164.25958627647,89285.7691280032
1596240000,63249.86584307639,125231.283653017,89906.82462793587,71939.71367070866,137566.8504392921,81023.88273084273,81647.65677001586,94055.91047075346,96171.07808652832,105412.77798277428,86647.10046769348,112375.53792769037,101460.72680718607,64894.805574944265,83733.34110901713
1598918400,67841.64459189535,137244.52275164702,103073.33237744748,77320.0995294741,155241.55185172136,88437.96379427232,85990.6142399258,100997.42722162584,107636.79556552725,113153.06550742021,93470.39620287015,121032.121820489,137152.72550888988,74661.10320477022,84402.35553332452
1601510400,69235.09108395886,137041.9373175701,97754.43685598846,77274.54963551312,153020.4335206322,91320.23913143067,85576.8591036219,101828.84422702892,109961.89755457977,117737.29539883364,94636.37223904529,122135.83463675302,124761.26400949429,69458.61192711808,88889.61698653511
1604188800,65565.40582016596,135153.6221890204,98975.26008424815,74290.44814631392,150347.51559042445,84186.4721242384,82338.94650374782,98721.06205927035,103059.74806831866,109702.94731608855,90574.30872049992,117021.06601770515,120470.3710510049,65126.584275334884,82548.79755459802
1606780800,70965.16466194246,147481.87977751245,107684.28816329784,80735.53567881655,161510.65284494802,95035.9003496103,90997.2604090082,109958.91635360518,114447.28235066557,123238.47727197855,100238.39840752642,134241.64052656075,134103.57202470372,77855.0366556354,91075.04940286967
1609459200,64294.340459026076,134270.6051413061,96766.63079437202,76813.2553851972,146642.54303304435,87824.7447706027,83584.55414143571,98116.01072249866,101253.90346671827,111483.43177375368,88403.93738403937,116847.57960409008,127373.03327691293,71414.26961226332,81843.85647196046
