month,ratio_quantity.26A,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.52R,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1535760000,0.03693066409856508,1.1526342766894675,0.017319043547947773,0.09206264564131195,0.05593923134834525,1.0275602374846944,0.5081807018938127,1.5124086253122213,0.03038059287726999,1.0140286770382683,0.016319425556220422,0.053653027465037875,0.4305949631383227,0.03295964888405009,0.06950445781909771
1538352000,0.033083505603873214,1.2715351641879533,0.0330425068248511,0.18030432025868298,0.05127320695264688,1.207498391070188,0.6442671963974725,1.6486379987543065,0.03138167967909701,1.31184551707191,0.01813808889840131,0.04879595969453726,0.5456547995154217,0.03613308026007315,0.1152778041785751
1541030400,0.03966908427696955,1.381708721776587,0.039296374830829116,0.2939997805437745,0.04663635303719249,1.20135691254925,0.7345049637778376,1.6539919851838871,0.04799827004129875,1.4697143003201416,0.007217077047710291,0.051410666282235014,0.5800107938817568,0.03607082612800899,0.10812554291850998
1543622400,0.03020529215596881,1.6376402926990044,0.037689625930462656,0.40717898884878034,0.06993381929567317,1.382407743673317,0.810031429219454,1.9014300682180851,0.047907936075684436,1.7863819003785855,0.014404370285944757,0.053995394510468225,0.7018961248570847,0.031768925543169214,0.1145596825478073
1546300800,0.05003006523731713,1.7076684296581943,0.026690782573745072,0.5157405074862772,0.03729360321470859,1.449033354229344,0.8455955863708311,1.882372042462458,0.07157218382357762,1.9548709185853002,0.0216144946801325,0.04392940597386998,0.8736034680961104,0.04441863933016693,0.14794610621678064
1548979200,0.041512331992988184,1.7017661327817926,0.02981126332288892,0.5492878874887198,0.0512525422425783,1.4614348151722838,0.8617062006011853,1.8453388085144138,0.08102842688593666,1.9840360817132698,0.028822077711527037,0.058149984669549536,0.904915398171906,0.046480133440237645,0.14110299971596935
1551398400,0.06226773427527433,2.012129713138884,0.029795415269679888,0.706525804816012,0.03726927986433984,1.670962645958405,1.061129304910094,2.11797581302023,0.1377088563379998,2.4233474981192678,0.021623491761449638,0.06868494742959792,1.2046422531920742,0.030610058465211677,0.20720880023674063
1554076800,0.07169703098821152,1.9758935810614227,0.029763163542317735,0.7510333377000363,0.02795710448268872,1.7408495966135047,1.190036704880935,2.1233196716641287,0.18020523318005013,2.3344169733312863,0.003604376433866001,0.28182364173143176,1.3400032473870398,0.2657779277759028,0.24878142610008425
1556668800,0.16412322824730546,2.4314931331636545,0.03913447073759087,0.9640833100548737,0.02328841773832203,2.016901120784294,1.3541376427974365,2.2937783161996186,0.25808404419200665,2.8745324288340823,0.06669406530971282,0.6834902302033067,1.5750300733159626,0.7100933340778426,0.37390177715454054
1559347200,0.3800051295977792,2.4135821431060616,0.12045007657183437,0.9998026394316963,0.07914578420669155,1.999653660715099,1.4677043789483533,2.1412680052544597,0.3113206602800884,2.7858576235456285,0.21812924428131822,0.9519524771836955,1.5809181177410192,0.9379046095222054,0.3618501069212606
