month,ratio_quantity.26A,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.52R,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1527811200,529.1593694532877,415.65052368075465,341.22538559966046,180.27828281342838,403.9994502973746,397.11716888413423,319.74870961571634,570.7226624432543,236.49466090406457,379.0125148820077,667.1720055089062,401.022946847679,237.98208667294418,359.0739658169986,186.60153036218153
1530403200,538.3628695476665,427.9935116161366,340.50653883538075,180.62000978930217,408.9496877632533,399.0749236345251,328.98726271516193,580.3432302339186,243.5336021124998,381.52720282035176,659.6480336891967,403.0367236524705,236.01596074027148,367.6343009854101,193.33295311730922
1533081600,550.854955258409,436.6114158568219,367.3596335743974,186.71440072925193,431.09569648116485,409.5213383573489,329.732016916467,592.8686440648102,245.39262660634375,384.74932110027027,703.090692311692,412.1464228944112,242.9511966521566,370.9329807405043,189.3322315633158
1535760000,526.1939204972231,403.9969841282229,328.3000868926155,173.71186358042897,395.24463443064866,388.2113079882849,314.00593151102163,556.3276702249108,230.51059649762396,370.7082725366333,657.6810398496193,383.351872844804,227.61017148775244,351.163310216688,180.4614562926649
1538352000,562.7966999675784,437.5118475093905,360.9279612161391,191.69972577557073,422.21670646814135,421.79760410592195,339.8979177020741,606.4568494157138,258.1141213340588,396.9606938544222,703.0355905580365,421.7934660324135,247.47783169112125,385.58246407297264,205.01826015407048
1541030400,544.4152960630746,431.48119290405424,343.0483752346213,190.06531539411216,420.9000427499902,406.5419127906576,330.7210458714685,596.7620161752805,242.39348959324548,389.64289464575285,674.3057923658959,409.2463467215423,239.44199133577698,375.56113120939835,194.38313936574784
1543622400,551.9053456340191,431.4682502091745,353.5692250245157,183.30319731885828,416.85231505548177,409.9146567259029,343.119431654638,594.0962461176821,240.48727974256337,388.79283020702206,691.4637400987461,417.12635392863547,249.7010747073581,379.7122523685795,191.7822893439047
1546300800,554.9218518843664,440.93544730957575,354.61571727727494,192.76440352929544,428.09819198539765,423.3499223927668,341.0991042247136,613.3752581097971,257.11894014476525,402.98013478203734,695.6706067088589,419.6052175431821,251.00609085597915,384.06406107868435,204.15053769987463
1548979200,504.4931176537062,378.9777991901575,330.86562320271616,157.22987301779793,390.05840460154667,380.21170329731024,300.1101379089585,551.3249347174661,209.49429482145592,356.7177357000037,626.2647487975788,371.9484797009566,214.8403284440102,351.25704112400246,160.1792568994331
1551398400,536.7845591952829,411.3143009872879,340.4287455711991,173.03222008351383,404.33564661682954,406.9714197284262,318.0586441621463,593.0783481154808,226.7010799199993,383.0903643324854,666.4850693793738,401.99310508796947,227.3510474557054,372.82086583306443,180.04446583373993
